first_name,last_name,pose,city,league
George,Moriarty,,Detroit,American
Mike,Mowrey,,Cincinnati,National
Dom,Mullaney,,Jacksonville,Southern
George,Mullen,,Detroit,American
George,Mullin,Throwing,Detroit,American
George,Mullin,With Bat,Detroit,American
Danny,Murphy,Throwing,Philadelphia,American
Danny,Murphy,Batting,Philadelphia,American
Red,Murray,Portrait,New York,National
Red,Murray,Batting,New York,National
Chief,Myers,Batting,New York,National
Chief,Myers,Fielding,New York,National
Billy,Nattress,,Buffalo,Minor
Tom,Needham,,Chicago,National
Simon,Nicholls,Hands On Knees,Philadelphia,American
Simon,Nichols,Batting,Philadelphia,American
Harry,Niles,,Boston,American
Peter,O'Brien,,St. Paul,Minor
Bill,O'Hara,New York,New York,National
Bill,O'Hara,St. Louis,St. Louis,National
Charley,O'Leary,Portrait,Detroit,American
Charley,O'Leary,Hands On Knees,Detroit,American
William J.,O'Neil,,Minneapolis,Minor
Rebel,Oakes,,Cincinnati,National
Frank,Oberlin,,Minneapolis,Minor
Rube,Oldring,Fielding,Philadelphia,American
Rube,Oldring,Batting,Philadelphia,American
Al,Orth,,Lynchburg,Southern
William,Otey,,Norfolk,Southern
Orval,Overall,Portrait,Chicago,National
Orval,Overall,Hand Face Level,Chicago,National
Orval,Overall,Hands Waist Level,Chicago,National
Frank,Owen,,Chicago,American
George,Paige,,Charleston,Southern
Fred,Parent,,Chicago,American
Dode,Paskert,,Cincinnati,National
Jim,Pastorius,,Brooklyn,National
Harry,Pattee,,Brooklyn,National
Fred,Payne,,Chicago,American
Barney,Pelty,Horizontal,St. Louis,American
Barney,Pelty,Vertical,St. Louis,American
Hub,Perdue,,Nashville,Southern
George,Perring,,Cleveland,American
Arch,Persons,,Montgomery,Southern
Francis,Pfeffer,,Chicago,National
Jake,Pfeister,Seated,Chicago,National
Jake,Pfeister,Throwing,Chicago,National
Jimmy,Phelan,,Providence,Minor
Eddie,Phelps,,St. Louis,National
Deacon,Phillippe,,Pittsburgh,National
Ollie,Pickering,,Minneapolis,Minor
Eddie,Plank,,Philadelphia,American
Phil,Poland,,Baltimore,Minor
Jack,Powell,,St. Louis,American
Mike,Powers,,Philadelphia,American
Billy,Purtell,,Chicago,American
Ambrose,Puttman,,Louisville,Minor
Lee,Quillen,,Minneapolis,Minor
Jack,Quinn,,New York,American
Newt,Randall,,Milwaukee,Minor
Bugs,Raymond,,New York,National
Ed,Reagan,,New Orleans,Southern
Ed,Reulbach,Glove Showing,Chicago,National
Ed,Reulbach,No Glove Showing,Chicago,National
Dutch,Revelle,,Richmond,Southern
Bob,Rhoades,Hands At Chest,Cleveland,American
Bob,Rhoades,Right Arm Extended,Cleveland,American
Charlie,Rhodes,,St. Louis,National
Claude,Ritchey,,Boston,National
Lou,Ritter,,Kansas City,Minor
Ike,Rockenfeld,,Montgomery,Southern
Claude,Rossman,,Detroit,American
Nap,Rucker,Portrait,Brooklyn,National
Nap,Rucker,Throwing,Brooklyn,National
Dick,Rudolph,,Toronto,Minor
Ray,Ryan,,Roanoke,Southern
Germany,Schaefer,Detroit,Detroit,American
Germany,Schaefer,Washington,Washington,American
George,Schirm,,Buffalo,Minor
Larry,Schlafly,,Newark,Minor
Admiral,Schlei,Portrait,New York,National
Admiral,Schlei,Catching,New York,National
Admiral,Schlei,Batting,New York,National
Boss,Schmidt,Portrait,Detroit,American
Boss,Schmidt,Throwing,Detroit,American
Ossee,Schreck,,Columbus,Minor
Wildfire,Schulte,Front View,Chicago,National
Wildfire,Schulte,Back View,Chicago,National
Jim,Scott,,Chicago,American
Charles,Seitz,,Norfolk,Southern
Cy,Seymour,Portrait,New York,National
Cy,Seymour,Batting,New York,National
Cy,Seymour,Throwing,New York,National
Spike,Shannon,,Kansas City,Minor
Bud,Sharpe,,Newark,Minor
Shag,Shaughnessy,,Roanoke,Southern
Hunky,Shaw,,Providence,Minor
Al,Shaw,,St. Louis,National
Jimmy,Sheckard,No Glove Showing,Chicago,National
Jimmy,Sheckard,Glove Showing,Chicago,National
Bill,Shipke,,Washington,American
Jimmy,Slagle,,Baltimore,Minor
Sid,Smith,,Atlanta,Southern
Happy,Smith,,Brooklyn,National
Heinie,Smith,,Buffalo,Minor
Frank,Smith,Chicago & Boston,Boston,American
Frank,Smith,Chicago & Boston,Chicago,American
Frank,Smith,F. Smith on Front,Chicago,American
Frank,Smith,White Cap,Chicago,American
Carlos,Smith,,Shreveport,Southern
Fred,Snodgrass,Catching,New York,National
Fred,Snodgrass,Batting,New York,National
Bob,Spade,,Cincinnati,National
Tris,Speaker,,Boston,American
Tubby,Spencer,,Boston,American
Jake,Stahl,No Glove Shows,Boston,American
Jake,Stahl,Glove Shows,Boston,American
Oscar,Stanage,,Detroit,American
Dolly,Stark,,San Antonio,Southern
Charlie,Starr,,Boston,National
Harry,Steinfeldt,Portrait,Chicago,National
Harry,Steinfeldt,With Bat,Chicago,National
Jim,Stephens,,St. Louis,American
George,Stone,,St. Louis,American
George,Stovall,Portrait,Cleveland,American
George,Stovall,Batting,Cleveland,American
Sam,Strang,,Baltimore,Minor
Gabby,Street,Portrait,Washington,American
Gabby,Street,Catching,Washington,American
Billy,Sullivan,,Chicago,American
Ed,Summers,,Detroit,American
Bill,Sweeney,,Boston,National
Jeff,Sweeney,,New York,American
Lee,Tannehill,L. Tannehill on Front,Chicago,American
Lee,Tannehill,Tannehill on Front,Chicago,American
Jesse,Tannehill,,Washington,American
Dummy,Taylor,,Buffalo,Minor
Fred,Tenney,,New York,National
Tony,Thebo,,Waco,Southern
Jake,Thielman,,Louisville,Minor
Ira,Thomas,,Philadelphia,American
Woodie,Thornton,,Mobile,Southern
Joe,Tinker,Portrait,Chicago,National
Joe,Tinker,Hands On Knees,Chicago,National
Joe,Tinker,Bat Off Shoulder,Chicago,National
Joe,Tinker,Bat On Shoulder,Chicago,National
John,Titus,,Philadelphia,National
Terry,Turner,,Cleveland,American
Bob,Unglaub,,Washington,American
Juan,Violat,,Jacksonville,Southern
Rube,Waddell,Portrait,St. Louis,American
Rube,Waddell,Throwing,St. Louis,American
Heinie,Wagner,Bat On Left Shoulder,Boston,American
Heinie,Wagner,Bat On Right Shoulder,Boston,American
Honus,Wagner,,Pittsburgh,National
Bobby,Wallace,,St. Louis,American
Ed,Walsh,,Chicago,American
Jack,Warhop,,New York,American
Jake,Weimer,,New York,National
James,Westlake,,Danville,Southern
Zack,Wheat,,Brooklyn,National
Jack,White,,Buffalo,Minor
Doc,White,Portrait,Chicago,American
Doc,White,Pitching,Chicago,American
Foley,White,,Houston,Southern
Kaiser,Wilhelm,Hands At Chest,Brooklyn,National
Kaiser,Wilhelm,With Bat,Brooklyn,National
Ed,Willett,,Detroit,American
Ed,Willetts,,Detroit,American
Jimmy,Williams,,St. Louis,American
Vic,Willis,Portrait,Pittsburgh,National
Vic,Willis,With Bat,St. Louis,National
Vic,Willis,Throwing,St. Louis,National
Owen,Wilson,,Pittsburgh,National
Hooks,Wiltse,"Portrait, No Cap",New York,National
Hooks,Wiltse,"Portrait, With Cap",New York,National
Hooks,Wiltse,Pitching,New York,National
Lucky,Wright,,Toledo,Minor
Cy,Young,Portrait,Cleveland,American
Cy,Young,Bare Hand Shows,Cleveland,American
Cy,Young,Glove Shows,Cleveland,American
Irv,Young,,Minneapolis,Minor
Heinie,Zimmerman,,Chicago,National
